Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5850.0,6610.0,5850.0,6610.0,4153.4150390625,922400
2000-01-05,6700.0,7400.0,6520.0,7100.0,4461.30810546875,3416300
2000-01-06,7000.0,7090.0,6400.0,6540.0,4109.4306640625,1237100
2000-01-07,6650.0,6840.0,6520.0,6520.0,4096.86328125,994900
2000-01-10,6600.0,6770.0,6250.0,6280.0,3946.058837890625,1078700
2000-01-11,6100.0,6480.0,6100.0,6300.0,3958.625732421875,1280400
2000-01-12,6300.0,6400.0,6150.0,6180.0,3883.22265625,750500
2000-01-13,6310.0,6640.0,6150.0,6350.0,3990.04345703125,1179800
2000-01-14,6500.0,6570.0,6110.0,6170.0,3876.940673828125,860000
2000-01-17,6170.0,6250.0,6010.0,6100.0,3832.955078125,802300
2000-01-18,6200.0,6250.0,5940.0,6000.0,3770.1201171875,1115400
2000-01-19,5990.0,5990.0,5610.0,5610.0,3525.0625,1103300
2000-01-20,5600.0,5600.0,5120.0,5450.0,3424.525634765625,928100
2000-01-21,5280.0,5930.0,5150.0,5580.0,3506.21240234375,1442900
2000-01-24,5510.0,5950.0,5400.0,5750.0,3613.031005859375,1297200
2000-01-25,5780.0,5780.0,5410.0,5410.0,3399.391845703125,735000
2000-01-26,5500.0,5680.0,5360.0,5530.0,3474.794189453125,800900
2000-01-27,5650.0,6270.0,5610.0,6200.0,3895.791259765625,2214800
2000-01-28,6150.0,6200.0,5910.0,6030.0,3788.970458984375,1295400
2000-01-31,6020.0,6390.0,5900.0,6230.0,3914.640380859375,1607300
2000-02-01,6300.0,6390.0,6050.0,6100.0,3832.955078125,1127400
2000-02-02,6140.0,6690.0,6020.0,6490.0,4078.011962890625,2353900
2000-02-03,6600.0,6640.0,6370.0,6450.0,4052.878173828125,1621300
2000-02-04,6450.0,6450.0,6450.0,6450.0,4052.878173828125,0
2000-02-07,6500.0,6600.0,6380.0,6500.0,4084.2978515625,1601000
2000-02-08,6610.0,6940.0,6520.0,6590.0,4140.84765625,1761700
2000-02-09,6500.0,6620.0,6110.0,6140.0,3858.089111328125,1144400
2000-02-10,5980.0,6000.0,5650.0,5650.0,3550.197021484375,1342500
2000-02-11,5550.0,5850.0,5500.0,5500.0,3455.94384765625,1099200
2000-02-14,5400.0,5440.0,5100.0,5100.0,3204.601806640625,1170100
2000-02-15,5000.0,5340.0,4920.0,5090.0,3198.318603515625,1053100
2000-02-16,5150.0,5280.0,5000.0,5150.0,3236.0205078125,906000
2000-02-17,5150.0,5240.0,5000.0,5150.0,3236.0205078125,970000
2000-02-18,5150.0,5150.0,4890.0,4900.0,3078.93115234375,1424800
2000-02-21,4655.0,4800.0,4210.0,4400.0,2764.755126953125,1578600
2000-02-22,4220.0,4350.0,4030.0,4150.0,2607.666748046875,2118000
2000-02-23,4350.0,4770.0,4165.0,4700.0,2953.260986328125,2117500
2000-02-24,4400.0,4580.0,4250.0,4250.0,2670.501953125,1077300
2000-02-25,4100.0,4480.0,4060.0,4300.0,2701.91943359375,1474800
2000-02-28,4060.0,4200.0,4060.0,4065.0,2554.256103515625,1050900
2000-02-29,4115.0,4290.0,4000.0,4070.0,2557.3984375,1647700
2000-03-01,4070.0,4070.0,4070.0,4070.0,2557.3984375,0
2000-03-02,4180.0,4340.0,4100.0,4245.0,2667.35986328125,1840400
2000-03-03,4300.0,4330.0,4075.0,4090.0,2569.964599609375,1464300
2000-03-06,4195.0,4700.0,4110.0,4700.0,2953.260986328125,3094600
2000-03-07,4900.0,5130.0,4700.0,4760.0,2990.9619140625,2714500
2000-03-08,4510.0,4990.0,4370.0,4890.0,3072.6474609375,1871800
2000-03-09,4900.0,5000.0,4725.0,4810.0,3022.37939453125,1530300
2000-03-10,4710.0,4950.0,4550.0,4555.0,2862.149658203125,1271900
2000-03-13,4550.0,4550.0,4315.0,4330.0,2720.770263671875,1231300
2000-03-14,4380.0,4460.0,4280.0,4310.0,2708.203369140625,891100
2000-03-15,4320.0,4640.0,4320.0,4350.0,2733.3369140625,1218700
2000-03-16,4510.0,4600.0,4300.0,4350.0,2733.3369140625,827500
2000-03-17,4470.0,4630.0,4410.0,4480.0,2815.02294921875,1331200
2000-03-20,4500.0,4640.0,4400.0,4465.0,2805.59765625,1128600
2000-03-21,4400.0,4430.0,4300.0,4345.0,2730.1953125,780700
2000-03-22,4350.0,4530.0,4330.0,4445.0,2793.03173828125,1172300
2000-03-23,4520.0,4920.0,4500.0,4750.0,2984.6787109375,3351500
2000-03-24,4750.0,4800.0,4560.0,4600.0,2890.425537109375,1106800
2000-03-27,4500.0,4500.0,4350.0,4400.0,2764.755126953125,1587500
2000-03-28,4400.0,4450.0,4350.0,4350.0,2733.3369140625,1250400
2000-03-29,4350.0,4400.0,4170.0,4180.0,2626.51708984375,1443200
2000-03-30,4210.0,4260.0,4120.0,4170.0,2620.23388671875,1029700
2000-03-31,4160.0,4160.0,4070.0,4070.0,2557.3984375,827000
2000-04-03,4070.0,4155.0,3960.0,3975.0,2497.705078125,867200
2000-04-04,4120.0,4150.0,4010.0,4095.0,2573.107421875,842900
2000-04-05,4095.0,4095.0,4095.0,4095.0,2573.107421875,0
2000-04-06,4010.0,4090.0,3945.0,3970.0,2494.562255859375,726700
2000-04-07,3910.0,4055.0,3910.0,3970.0,2494.562255859375,888500
2000-04-10,4010.0,4380.0,4010.0,4160.0,2613.94970703125,2035700
2000-04-11,4160.0,4160.0,3965.0,3985.0,2503.98828125,820400
2000-04-12,3995.0,4020.0,3910.0,3970.0,2494.562255859375,726700
2000-04-13,3970.0,3970.0,3970.0,3970.0,2494.562255859375,0
2000-04-14,3900.0,3950.0,3865.0,3915.0,2460.00341796875,510100
2000-04-17,4130.0,4500.0,4010.0,4500.0,2827.59033203125,6564400
2000-04-18,4795.0,5160.0,4615.0,4730.0,2972.111083984375,10409400
2000-04-19,4750.0,4830.0,4550.0,4560.0,2865.291015625,5284700
2000-04-20,4700.0,5240.0,4520.0,5240.0,3292.572265625,9376800
2000-04-21,5350.0,5540.0,5100.0,5160.0,3242.302978515625,9585700
2000-04-24,5060.0,5160.0,4685.0,4685.0,2943.835693359375,4093300
2000-04-25,4610.0,4720.0,4380.0,4670.0,2934.41064453125,4872700
2000-04-26,4735.0,4800.0,3970.0,4065.0,2554.256103515625,5680400
2000-04-27,4050.0,4140.0,3460.0,3970.0,2494.562255859375,4616900
2000-04-28,4050.0,4440.0,4030.0,4150.0,2607.666748046875,4401200
