Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,34150.9453125,39245.28125,34150.9453125,38207.546875,20920.861328125,271254
2000-01-05,38207.546875,38679.24609375,36320.75390625,36320.75390625,19887.724609375,268074
2000-01-06,36886.79296875,37216.98046875,33018.8671875,33396.2265625,18286.3828125,214438
2000-01-07,33679.24609375,34716.98046875,33679.24609375,34716.98046875,19009.572265625,260336
2000-01-10,36792.453125,39905.66015625,35943.39453125,39905.66015625,21850.673828125,789488
2000-01-11,40094.33984375,40566.0390625,38207.546875,39056.60546875,21385.765625,1006682
2000-01-12,37641.5078125,38207.546875,35471.69921875,35566.0390625,19474.478515625,551518
2000-01-13,36792.453125,38679.24609375,36132.07421875,37641.5078125,20610.919921875,598794
2000-01-14,38113.20703125,38396.2265625,36320.75390625,36367.92578125,19913.560546875,311322
2000-01-17,35943.39453125,37075.47265625,35377.359375,36981.1328125,20249.326171875,281218
2000-01-18,36132.07421875,36367.92578125,34669.8125,36132.07421875,19784.421875,692286
2000-01-19,35377.359375,35471.69921875,34245.28125,34339.62109375,18802.943359375,269664
2000-01-20,33396.2265625,35283.01953125,32924.52734375,33962.265625,18596.32421875,379374
2000-01-21,33490.56640625,35188.6796875,33207.546875,35188.6796875,19267.85546875,395168
2000-01-24,34433.9609375,34905.66015625,33443.39453125,33490.56640625,18338.033203125,399302
2000-01-25,33018.8671875,33301.88671875,31981.1328125,31981.1328125,17511.533203125,337822
2000-01-26,32075.47265625,32924.52734375,29905.66015625,30660.376953125,16788.34375,550988
2000-01-27,30188.6796875,33301.88671875,29811.3203125,32075.47265625,17563.1875,733732
2000-01-28,32169.810546875,34339.62109375,31698.11328125,33066.0390625,18105.580078125,719104
2000-01-31,32264.150390625,36792.453125,32122.640625,36792.453125,20146.015625,742954
2000-02-01,37735.84765625,38584.90625,35990.56640625,36462.265625,19965.216796875,649674
2000-02-02,36320.75390625,41415.09375,36320.75390625,40566.0390625,22212.2734375,1449550
2000-02-03,41226.4140625,45518.8671875,40849.0546875,44245.28125,24226.873046875,1831150
2000-02-04,44245.28125,44245.28125,44245.28125,44245.28125,24226.873046875,0
2000-02-07,42547.16796875,44811.3203125,41603.7734375,42452.83203125,23245.3984375,934284
2000-02-08,42358.4921875,44245.28125,41509.43359375,42264.15234375,23142.08984375,534240
2000-02-09,43113.20703125,43113.20703125,41556.60546875,42264.15234375,23142.08984375,651052
2000-02-10,40849.0546875,41509.43359375,38207.546875,39150.9453125,21437.42578125,531696
2000-02-11,38773.5859375,40471.69921875,37264.15234375,38207.546875,20920.861328125,493324
2000-02-14,38113.20703125,38113.20703125,35943.39453125,36226.4140625,19836.068359375,444988
2000-02-15,36226.4140625,37641.5078125,35424.52734375,35849.0546875,19629.447265625,609500
2000-02-16,37358.4921875,40566.0390625,36415.09375,37547.16796875,20559.265625,1298924
2000-02-17,37735.84765625,37735.84765625,35943.39453125,37358.4921875,20455.951171875,407146
2000-02-18,36037.734375,37075.47265625,35943.39453125,36132.07421875,19784.421875,414036
2000-02-21,36132.07421875,36132.07421875,33773.5859375,33773.5859375,18493.001953125,344606
2000-02-22,33867.92578125,35000.0,31886.79296875,32075.47265625,17563.1875,545794
2000-02-23,33773.5859375,36273.5859375,32641.509765625,33962.265625,18596.32421875,761186
2000-02-24,32924.52734375,33490.56640625,32075.47265625,32735.849609375,17924.7890625,329130
2000-02-25,31792.453125,33018.8671875,31603.7734375,32358.490234375,17718.158203125,345242
2000-02-28,31226.416015625,31603.7734375,30707.546875,30707.546875,16814.171875,369198
2000-02-29,31226.416015625,31981.1328125,29669.810546875,30330.189453125,16607.548828125,376406
2000-03-01,30330.189453125,30330.189453125,30330.189453125,30330.189453125,16607.548828125,0
2000-03-02,29858.490234375,32452.830078125,29858.490234375,30849.056640625,16891.65625,445836
2000-03-03,31132.076171875,31792.453125,30283.01953125,30943.396484375,16943.314453125,367714
2000-03-06,31226.416015625,33018.8671875,30990.56640625,33018.8671875,18079.755859375,558832
2000-03-07,32169.810546875,32641.509765625,28066.037109375,31509.43359375,17253.25390625,449440
2000-03-08,30943.396484375,32452.830078125,30660.376953125,31132.076171875,17046.626953125,427392
2000-03-09,31320.75390625,31556.603515625,30660.376953125,31132.076171875,17046.626953125,422410
2000-03-10,31132.076171875,31509.43359375,30000.0,30047.169921875,16452.578125,628686
2000-03-13,30047.169921875,30660.376953125,28207.546875,28584.90625,15651.9033203125,588300
2000-03-14,28773.583984375,29528.302734375,27830.189453125,28207.546875,15445.2783203125,463538
2000-03-15,27830.189453125,28584.90625,27452.830078125,27500.0,15057.8544921875,355418
2000-03-16,28207.546875,28773.583984375,27405.66015625,27594.33984375,15109.51171875,470746
2000-03-17,28679.24609375,30660.376953125,28113.20703125,28867.923828125,15806.8701171875,847364
2000-03-20,29056.603515625,29245.283203125,28113.20703125,28207.546875,15445.2783203125,329342
2000-03-21,28113.20703125,28490.56640625,27169.810546875,27452.830078125,15032.0244140625,377148
2000-03-22,27735.849609375,28584.90625,27169.810546875,28066.037109375,15367.7919921875,684442
2000-03-23,28301.88671875,28396.2265625,27358.490234375,27405.66015625,15006.1962890625,519506
2000-03-24,27452.830078125,27783.01953125,26886.79296875,27264.150390625,14928.7119140625,391352
2000-03-27,27971.697265625,29245.283203125,27405.66015625,29245.283203125,16013.498046875,830404
2000-03-28,29245.283203125,29858.490234375,28962.263671875,29622.640625,16220.1220703125,701508
2000-03-29,29528.302734375,30566.037109375,29056.603515625,30000.0,16426.751953125,939372
2000-03-30,30000.0,30700.0,28500.0,28700.0,15741.158203125,474600
2000-03-31,28000.0,28700.0,27100.0,27100.0,14863.6025390625,386900
2000-04-03,27000.0,28000.0,26000.0,26500.0,14534.517578125,519400
2000-04-04,26800.0,27300.0,25000.0,25000.0,13711.80859375,414600
2000-04-05,25000.0,25000.0,25000.0,25000.0,13711.80859375,0
2000-04-06,24000.0,24600.0,23000.0,23300.0,12779.4091796875,449300
2000-04-07,23550.0,23800.0,22300.0,22700.0,12450.32421875,1419700
2000-04-10,23200.0,24900.0,22200.0,24100.0,13218.1826171875,1431800
2000-04-11,24500.0,24500.0,23100.0,23650.0,12971.37109375,545800
2000-04-12,23200.0,25400.0,22900.0,24750.0,13574.6904296875,1113000
2000-04-13,24750.0,24750.0,24750.0,24750.0,13574.6904296875,0
2000-04-14,24600.0,27500.0,24300.0,27000.0,14808.7529296875,1875300
2000-04-17,24150.0,25700.0,23200.0,23300.0,12779.4091796875,1147000
2000-04-18,25600.0,26750.0,24800.0,25950.0,14232.8583984375,2535300
2000-04-19,26600.0,27700.0,25550.0,26000.0,14260.283203125,1527700
2000-04-20,26150.0,26700.0,25000.0,25100.0,13766.65625,525700
2000-04-21,25200.0,25700.0,24300.0,25100.0,13766.65625,483200
2000-04-24,24500.0,24800.0,23800.0,24100.0,13218.1826171875,311300
2000-04-25,23100.0,23600.0,22700.0,23000.0,12614.8681640625,324700
2000-04-26,24000.0,24000.0,20350.0,20700.0,11353.3779296875,839200
2000-04-27,21000.0,21800.0,20600.0,21350.0,11709.884765625,1004300
2000-04-28,21500.0,23750.0,21500.0,22700.0,12450.32421875,1434500
