Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,18688.708984375,20234.212890625,18308.27734375,19259.357421875,9682.0234375,197145699
2000-01-05,19021.5859375,19592.234375,18070.5078125,18664.931640625,9383.1962890625,186396333
2000-01-06,18807.59375,19497.126953125,16406.119140625,17119.427734375,8606.240234375,184079807
2000-01-07,18546.046875,18878.923828125,17618.744140625,18070.5078125,9084.3671875,256406581
2000-01-10,18783.81640625,19211.802734375,18546.046875,18926.478515625,9514.6787109375,988218404
2000-01-11,18926.478515625,19021.5859375,17642.521484375,17785.18359375,8940.9306640625,405010693
2000-01-12,17571.19140625,17571.19140625,16643.888671875,16643.888671875,8367.1787109375,310301664
2000-01-13,16406.119140625,16857.880859375,15455.0390625,15455.0390625,7769.521484375,373023561
2000-01-14,15930.5791015625,16025.6865234375,15264.8232421875,15692.80859375,7889.05615234375,265682778
2000-01-17,15692.80859375,16120.794921875,15217.26953125,15407.4853515625,7745.61669921875,338293230
2000-01-18,15407.4853515625,15597.701171875,14361.2978515625,14836.837890625,7458.74169921875,349263503
2000-01-19,14503.9599609375,14503.9599609375,13861.9814453125,14123.5283203125,7100.15087890625,413611763
2000-01-20,13885.7578125,15169.7158203125,13885.7578125,14931.9453125,7506.552734375,348723906
2000-01-21,14503.9599609375,14741.7294921875,13980.8662109375,14266.1904296875,7171.86865234375,268486225
2000-01-24,14147.3046875,14717.953125,14028.419921875,14456.40625,7267.49169921875,159872993
2000-01-25,14503.9599609375,14503.9599609375,13838.2041015625,14028.419921875,7052.3349609375,152303488
2000-01-26,14242.4130859375,14503.9599609375,14028.419921875,14123.5283203125,7100.15087890625,129366600
2000-01-27,14171.08203125,14979.4990234375,14171.08203125,14741.7294921875,7410.9287109375,179291142
2000-01-28,15217.26953125,15359.931640625,14313.744140625,14836.837890625,7458.74169921875,225990611
2000-01-31,14622.8447265625,15692.80859375,14266.1904296875,15193.4921875,7638.03857421875,315062676
2000-02-01,15692.80859375,15930.5791015625,14931.9453125,14979.4990234375,7530.46044921875,612915852
2000-02-02,15217.26953125,15288.6005859375,14741.7294921875,15074.607421875,7578.2734375,213793101
2000-02-03,15312.376953125,15312.376953125,14860.6142578125,14931.9453125,7506.552734375,187889583
2000-02-04,14931.9453125,14931.9453125,14931.9453125,14931.9453125,7506.552734375,0
2000-02-07,14599.0673828125,14931.9453125,14503.9599609375,14599.0673828125,7339.2099609375,196440395
2000-02-08,14599.0673828125,14741.7294921875,14313.744140625,14361.2978515625,7219.68115234375,142909319
2000-02-09,14575.291015625,14575.291015625,14171.08203125,14242.4130859375,7159.9140625,197411712
