Date,Open,High,Low,Close,Adj Close,Volume
2002-04-24,58380.265625,59655.80078125,53278.125,55927.3125,45033.8671875,4748665
2002-04-25,53964.953125,55338.60546875,50825.171875,51413.8828125,41399.55859375,3988764
2002-04-26,50825.171875,54946.1328125,49353.40234375,53768.71484375,43295.71484375,4179962
2002-04-29,50334.58203125,52395.0625,50334.58203125,51217.64453125,41241.53125,2028473
2002-04-30,51021.41015625,51413.8828125,49255.28515625,50040.2265625,40293.453125,2017364
2002-05-01,50040.2265625,50040.2265625,50040.2265625,50040.2265625,40293.453125,0
2002-05-02,51708.234375,53866.8359375,50727.0546875,53866.8359375,43374.71484375,2293460
2002-05-03,52983.76953125,56123.55078125,52591.30078125,55927.3125,45033.8671875,2294174
2002-05-06,54553.66015625,56614.140625,53964.953125,53964.953125,43453.72265625,1918096
2002-05-07,52983.76953125,54455.54296875,52591.30078125,54455.54296875,43848.74609375,1649237
2002-05-08,55829.1953125,57202.84765625,55240.48828125,56908.49609375,45823.9296875,2006867
2002-05-09,58772.73828125,58772.73828125,55927.3125,57399.0859375,46218.9609375,2178803
2002-05-10,56712.2578125,57006.61328125,52885.65234375,53376.2421875,42979.6796875,2143743
2002-05-13,53376.2421875,53376.2421875,50825.171875,52983.76953125,42663.66015625,1895776
2002-05-14,53572.48046875,54749.8984375,49647.7578125,50923.29296875,41004.51953125,4342420
2002-05-15,51512.0,53081.890625,51315.76171875,52787.53515625,42505.6484375,3690348
2002-05-16,53474.36328125,53474.36328125,51021.41015625,51021.41015625,41083.5234375,1863264
2002-05-17,52198.828125,53376.2421875,51610.1171875,52493.1796875,42268.6328125,1967323
2002-05-20,52493.1796875,54357.42578125,52395.0625,53376.2421875,42979.6796875,1604596
2002-05-21,53180.0078125,53180.0078125,51021.41015625,51021.41015625,41083.5234375,1117734
2002-05-22,51021.41015625,52983.76953125,50530.8203125,52787.53515625,42505.6484375,1311073
2002-05-23,51806.35546875,53180.0078125,51806.35546875,52002.58984375,41873.58984375,901770
2002-05-24,52493.1796875,53474.36328125,52395.0625,52885.65234375,42584.65625,977393
2002-05-27,51806.35546875,52885.65234375,51610.1171875,51806.35546875,41715.578125,571861
2002-05-28,52100.70703125,52395.0625,50530.8203125,51512.0,41478.5546875,783239
2002-05-29,50334.58203125,51021.41015625,49942.109375,50530.8203125,40688.4921875,895859
2002-05-30,50040.2265625,50334.58203125,47538.21875,47783.51171875,38476.30078125,1603883
2002-05-31,47783.51171875,48274.1015625,44594.67578125,44938.0859375,36185.1015625,1400455
2002-06-03,44643.734375,47391.0390625,44594.67578125,47391.0390625,38160.2734375,1362643
2002-06-04,45919.26953125,48568.45703125,45919.26953125,48077.8671875,38713.32421875,1011638
2002-06-05,48960.9296875,50727.0546875,48372.22265625,50530.8203125,40688.4921875,1433374
2002-06-06,50530.8203125,50530.8203125,50530.8203125,50530.8203125,40688.4921875,0
2002-06-07,49843.9921875,51315.76171875,48960.9296875,50825.171875,40925.50390625,1280395
2002-06-10,51610.1171875,52591.30078125,51610.1171875,52100.70703125,41952.59765625,955175
2002-06-11,52100.70703125,53670.59765625,51512.0,53376.2421875,42979.6796875,882915
2002-06-12,52493.1796875,53964.953125,51806.35546875,53964.953125,43453.72265625,1201715
